productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extDefenseValue,extCost,extPitchValue,extPower,extFlavorText
477989,Outsider Blitz Deck - Azalea,Outsider Blitz Deck Azalea,https://tcgplayer-cdn.tcgplayer.com/product/477989_200w.jpg,62,22899,https://cpt.tcgcsv.com/PcR5,2023-03-24T04:03:16.763,1,9.99,12.49,20.99,12.13,,Normal,,,,,,,,,,,,
489145,Azalea,Azalea,https://tcgplayer-cdn.tcgplayer.com/product/489145_200w.jpg,62,22899,https://cpt.tcgcsv.com/WGW5,2023-03-24T04:03:16.763,1,,,,,,,Common,AZL001,Hero,Young,Ranger,4,20,,,,,
489146,Barbed Castaway,Barbed Castaway,https://tcgplayer-cdn.tcgplayer.com/product/489146_200w.jpg,62,22899,https://cpt.tcgcsv.com/XGW5,2023-03-24T04:03:16.763,1,0.6,0.6,0.6,,,Normal,Common,AZL002,Weapon,Bow (2H),Ranger,,,,,,,
489147,Crow's Nest,Crows Nest,https://tcgplayer-cdn.tcgplayer.com/product/489147_200w.jpg,62,22899,https://cpt.tcgcsv.com/ZGW5,2023-03-24T04:03:16.763,1,0.6,0.6,0.6,,,Normal,Common,AZL003,Equipment,Quiver,Ranger,,,,,,,
489148,Wayfinder's Crest,Wayfinders Crest,https://tcgplayer-cdn.tcgplayer.com/product/489148_200w.jpg,62,22899,https://cpt.tcgcsv.com/-GW5,2023-03-24T04:03:16.763,1,0.25,0.28,0.3,0.26,,Normal,Common,AZL004,Equipment,Head,Ranger,,,1,,,,
489149,Threadbare Tunic,Threadbare Tunic,https://tcgplayer-cdn.tcgplayer.com/product/489149_200w.jpg,62,22899,https://cpt.tcgcsv.com/_GW5,2023-03-24T04:03:16.763,1,0.6,0.6,0.6,,,Normal,Common,AZL005,Equipment,Chest,Generic,,,,,,,
489150,Bracers of Belief,Bracers of Belief,https://tcgplayer-cdn.tcgplayer.com/product/489150_200w.jpg,62,22899,https://cpt.tcgcsv.com/0HW5,2023-03-24T04:03:16.763,1,0.25,0.26,0.26,0.25,,Normal,Common,AZL006,Equipment,Arms,Generic,,,0,,,,
489151,Ironrot Legs,Ironrot Legs,https://tcgplayer-cdn.tcgplayer.com/product/489151_200w.jpg,62,22899,https://cpt.tcgcsv.com/2HW5,2023-03-24T04:03:16.763,1,0.25,0.25,0.25,,,Normal,Common,AZL007,Equipment,Legs,Generic,,,1,,,,
489152,Falcon Wing (Red),Falcon Wing Red,https://tcgplayer-cdn.tcgplayer.com/product/489152_200w.jpg,62,22899,https://cpt.tcgcsv.com/3HW5,2024-12-11T20:35:27.753,1,0.25,0.25,0.3,,,Normal,Common,AZL008,Action,Arrow Attack,Ranger,,,3,1,1,3,
489153,Infecting Shot (Red),Infecting Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/489153_200w.jpg,62,22899,https://cpt.tcgcsv.com/5HW5,2023-03-24T04:03:16.763,1,0.25,0.28,0.3,,,Normal,Common,AZL009,Action,Arrow Attack,Ranger,,,3,1,1,5,
489154,Murkmire Grapnel (Red),Murkmire Grapnel Red,https://tcgplayer-cdn.tcgplayer.com/product/489154_200w.jpg,62,22899,https://cpt.tcgcsv.com/6HW5,2023-03-24T04:03:16.763,1,,,,,,,Common,AZL010,Action,Arrow Attack,Ranger,,,3,0,1,4,
489155,Salvage Shot (Red),Salvage Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/489155_200w.jpg,62,22899,https://cpt.tcgcsv.com/7HW5,2023-03-24T04:03:16.763,1,0.15,0.25,0.3,,,Normal,Common,AZL011,Action,Arrow Attack,Ranger,,,3,1,1,5,
489156,Sedation Shot (Red),Sedation Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/489156_200w.jpg,62,22899,https://cpt.tcgcsv.com/8HW5,2023-03-24T04:03:16.763,1,0.25,0.28,0.3,,,Normal,Common,AZL012,Action,Arrow Attack,Ranger,,,3,1,1,5,
489157,Skybound Shot (Red),Skybound Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/489157_200w.jpg,62,22899,https://cpt.tcgcsv.com/9HW5,2023-03-24T04:03:16.763,1,0.25,0.28,0.3,,,Normal,Common,AZL013,Action,Arrow Attack,Ranger,,,3,1,1,5,
489158,Spire Sniping (Red),Spire Sniping Red,https://tcgplayer-cdn.tcgplayer.com/product/489158_200w.jpg,62,22899,https://cpt.tcgcsv.com/bHW5,2023-03-24T04:03:16.763,1,0.25,0.28,0.3,,,Normal,Common,AZL014,Action,Arrow Attack,Ranger,,,3,1,1,5,
489159,Widowmaker (Red),Widowmaker Red,https://tcgplayer-cdn.tcgplayer.com/product/489159_200w.jpg,62,22899,https://cpt.tcgcsv.com/cHW5,2023-03-24T04:03:16.763,1,0.3,0.3,0.3,0.25,,Normal,Common,AZL015,Action,Arrow Attack,Ranger,,,3,1,1,4,
489160,Withering Shot (Red),Withering Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/489160_200w.jpg,62,22899,https://cpt.tcgcsv.com/dHW5,2023-03-24T04:03:16.763,1,0.25,0.28,0.3,,,Normal,Common,AZL016,Action,Arrow Attack,Ranger,,,3,1,1,5,
489161,Ravenous Rabble (Red),Ravenous Rabble Red,https://tcgplayer-cdn.tcgplayer.com/product/489161_200w.jpg,62,22899,https://cpt.tcgcsv.com/fHW5,2023-03-24T04:03:16.763,1,0.25,0.28,0.3,,,Normal,Common,AZL017,Action,Attack,Generic,,,2,0,1,5,
489162,Seek Horizon (Red),Seek Horizon Red,https://tcgplayer-cdn.tcgplayer.com/product/489162_200w.jpg,62,22899,https://cpt.tcgcsv.com/gHW5,2023-03-24T04:03:16.763,1,0.25,0.28,0.3,,,Normal,Common,AZL018,Action,Attack,Generic,,,2,0,1,4,
489163,Fletch a Red Tail (Red),Fletch a Red Tail Red,https://tcgplayer-cdn.tcgplayer.com/product/489163_200w.jpg,62,22899,https://cpt.tcgcsv.com/hHW5,2023-03-24T04:03:16.763,1,0.55,0.58,0.6,,,Normal,Rare,AZL019,Action,,Ranger,,,2,1,1,,
489164,Scout the Periphery (Red),Scout the Periphery Red,https://tcgplayer-cdn.tcgplayer.com/product/489164_200w.jpg,62,22899,https://cpt.tcgcsv.com/jHW5,2023-03-24T04:03:16.763,1,0.25,0.28,0.3,,,Normal,Common,AZL020,Action,,Generic,,,2,0,1,,
489165,Sedation Shot (Yellow),Sedation Shot Yellow,https://tcgplayer-cdn.tcgplayer.com/product/489165_200w.jpg,62,22899,https://cpt.tcgcsv.com/kHW5,2023-03-24T04:03:16.763,1,0.15,0.25,0.3,,,Normal,Common,AZL021,Action,Arrow Attack,Ranger,,,3,1,2,4,
489166,Spire Sniping (Yellow),Spire Sniping Yellow,https://tcgplayer-cdn.tcgplayer.com/product/489166_200w.jpg,62,22899,https://cpt.tcgcsv.com/lHW5,2023-03-24T04:03:16.763,1,0.25,0.25,0.3,,,Normal,Common,AZL022,Action,Arrow Attack,Ranger,,,3,1,2,4,
489167,Falcon Wing (Blue),Falcon Wing Blue,https://tcgplayer-cdn.tcgplayer.com/product/489167_200w.jpg,62,22899,https://cpt.tcgcsv.com/mHW5,2024-12-11T20:38:36.007,1,0.25,0.25,0.3,,,Normal,Common,AZL023,Action,Arrow Attack,Ranger,,,3,3,3,1,
489168,Sedation Shot (Blue),Sedation Shot Blue,https://tcgplayer-cdn.tcgplayer.com/product/489168_200w.jpg,62,22899,https://cpt.tcgcsv.com/nHW5,2023-03-24T04:03:16.763,1,0.15,0.25,0.3,,,Normal,Common,AZL024,Action,Arrow Attack,Ranger,,,3,1,3,3,
489169,Spire Sniping (Blue),Spire Sniping Blue,https://tcgplayer-cdn.tcgplayer.com/product/489169_200w.jpg,62,22899,https://cpt.tcgcsv.com/pHW5,2023-03-24T04:03:16.763,1,0.25,0.3,0.3,,,Normal,Common,AZL025,Action,Arrow Attack,Ranger,,,3,1,3,3,
489170,Scout the Periphery (Blue),Scout the Periphery Blue,https://tcgplayer-cdn.tcgplayer.com/product/489170_200w.jpg,62,22899,https://cpt.tcgcsv.com/qHW5,2023-03-24T04:03:16.763,1,0.15,0.25,0.3,,,Normal,Common,AZL026,Action,,Generic,,,2,0,3,,
489171,Toxicity (Blue),Toxicity Blue,https://tcgplayer-cdn.tcgplayer.com/product/489171_200w.jpg,62,22899,https://cpt.tcgcsv.com/rHW5,2023-03-24T04:03:16.763,1,0.55,0.6,0.6,,,Normal,Rare,AZL027,Action,,Ranger;Assassin,,,2,0,3,,
489172,Bloodrot Pox,Bloodrot Pox,https://tcgplayer-cdn.tcgplayer.com/product/489172_200w.jpg,62,22899,https://cpt.tcgcsv.com/sHW5,2023-03-24T04:03:16.763,1,,,,,,,Token,AZL028,Token,Aura,Generic,,,,,,,"<em>""We are trumpeters of Their return, that even the deaf can hear Their footsteps drawing near.""-book of the raven, l'Apocalypta</em>"
489173,Frailty,Frailty,https://tcgplayer-cdn.tcgplayer.com/product/489173_200w.jpg,62,22899,https://cpt.tcgcsv.com/tHW5,2023-03-24T04:03:16.763,1,,,,,,,Token,AZL029,Token,Aura,Generic,,,,,,,"<em>""Alchemy draws you in with a deadly allure. The promise of deliverance, the costs yet unkown""-Achlys, hag of Mojire</em>"
489174,Inertia,Inertia,https://tcgplayer-cdn.tcgplayer.com/product/489174_200w.jpg,62,22899,https://cpt.tcgcsv.com/vHW5,2023-03-24T04:03:16.763,1,,,,,,,Token,AZL030,Token,Aura,Generic,,,,,,,"<em>""This? A lil set-back is all it is. All it will ever be.""-Dr. Mortimer</em>"
