productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extPitchValue,extIntellect,extLife,extPower,extDefenseValue,extCost,extFlavorText
224723,Crucible of War Booster Box Case [1st Edition],Crucible of War Booster Box Case 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/224723_200w.jpg,62,2724,https://cpt.tcgcsv.com/tVP2,2021-08-02T14:53:45.4,1,1295.0,1799.99,3000.0,1112.32,,Normal,,,,,,,,,,,,
224724,Crucible of War Booster Box [1st Edition],Crucible of War Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/224724_200w.jpg,62,2724,https://cpt.tcgcsv.com/vVP2,2021-08-02T14:53:27.467,1,267.0,444.99,2000.0,292.44,,Normal,,,,,,,,,,,,
224725,Crucible of War Booster Pack [1st Edition],Crucible of War Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/224725_200w.jpg,62,2724,https://cpt.tcgcsv.com/wVP2,2021-04-02T12:51:39.42,1,16.95,21.5,37.0,20.59,,Normal,,,,,,,,,,,,
225900,Arknight Shard,Arknight Shard,https://tcgplayer-cdn.tcgplayer.com/product/225900_200w.jpg,62,2724,https://cpt.tcgcsv.com/0nQ2,2025-03-06T21:10:06.787,1,2499.95,3000.0,8797.95,,,1st Edition Cold Foil,Fabled,CRU000,Resource,Gem,Runeblade,3,,,,,,
225900,Arknight Shard,Arknight Shard,https://tcgplayer-cdn.tcgplayer.com/product/225900_200w.jpg,62,2724,https://cpt.tcgcsv.com/0nQ2,2025-03-06T21:10:06.787,1,150.0,189.99,995.95,175.51,,Unlimited Edition Rainbow Foil,Fabled,CRU000,Resource,Gem,Runeblade,3,,,,,,
225901,"Rhinar, Reckless Rampage",Rhinar Reckless Rampage,https://tcgplayer-cdn.tcgplayer.com/product/225901_200w.jpg,62,2724,https://cpt.tcgcsv.com/2nQ2,2025-03-06T18:54:41.787,1,0.1,0.75,50.0,0.29,,1st Edition Normal,Common,CRU001,Hero,,Brute,,4,40,,,,
225901,"Rhinar, Reckless Rampage",Rhinar Reckless Rampage,https://tcgplayer-cdn.tcgplayer.com/product/225901_200w.jpg,62,2724,https://cpt.tcgcsv.com/2nQ2,2025-03-06T18:54:41.787,1,0.01,0.2,25.2,0.2,,Unlimited Edition Normal,Common,CRU001,Hero,,Brute,,4,40,,,,
225902,"Kayo, Berserker Runt",Kayo Berserker Runt,https://tcgplayer-cdn.tcgplayer.com/product/225902_200w.jpg,62,2724,https://cpt.tcgcsv.com/3nQ2,2025-03-06T21:24:27.017,1,0.1,0.25,25.2,0.2,,Unlimited Edition Normal,Rare,CRU002,Hero,Young,Brute,,4,19,,,,
225902,"Kayo, Berserker Runt",Kayo Berserker Runt,https://tcgplayer-cdn.tcgplayer.com/product/225902_200w.jpg,62,2724,https://cpt.tcgcsv.com/3nQ2,2025-03-06T21:24:27.017,1,0.19,0.44,4.99,0.33,,1st Edition Normal,Rare,CRU002,Hero,Young,Brute,,4,19,,,,
225902,"Kayo, Berserker Runt",Kayo Berserker Runt,https://tcgplayer-cdn.tcgplayer.com/product/225902_200w.jpg,62,2724,https://cpt.tcgcsv.com/3nQ2,2025-03-06T21:24:27.017,1,4.45,5.63,46.47,,,1st Edition Rainbow Foil,Rare,CRU002,Hero,Young,Brute,,4,19,,,,
225902,"Kayo, Berserker Runt",Kayo Berserker Runt,https://tcgplayer-cdn.tcgplayer.com/product/225902_200w.jpg,62,2724,https://cpt.tcgcsv.com/3nQ2,2025-03-06T21:24:27.017,1,0.24,0.43,4.0,0.35,,Unlimited Edition Rainbow Foil,Rare,CRU002,Hero,Young,Brute,,4,19,,,,
225903,Romping Club,Romping Club,https://tcgplayer-cdn.tcgplayer.com/product/225903_200w.jpg,62,2724,https://cpt.tcgcsv.com/5nQ2,2025-03-06T21:10:22.233,1,0.27,0.87,2.0,0.55,,1st Edition Normal,Common,CRU003,Weapon,Club (2H),Brute,,,,4,,,
225903,Romping Club,Romping Club,https://tcgplayer-cdn.tcgplayer.com/product/225903_200w.jpg,62,2724,https://cpt.tcgcsv.com/5nQ2,2025-03-06T21:10:22.233,1,0.99,1.42,9.95,1.28,,Unlimited Edition Rainbow Foil,Common,CRU003,Weapon,Club (2H),Brute,,,,4,,,
225904,Mandible Claw,Mandible Claw,https://tcgplayer-cdn.tcgplayer.com/product/225904_200w.jpg,62,2724,https://cpt.tcgcsv.com/6nQ2,2025-03-06T21:24:22.673,1,104.99,115.0,225.0,117.53,,1st Edition Cold Foil,Rare,CRU004,Weapon,Claw (1H),Brute,,,,3,,,
