productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower,extDefenseValue,extCost,extPitchValue
586642,Dorinthea,Dorinthea,https://tcgplayer-cdn.tcgplayer.com/product/586642_200w.jpg,62,23762,https://cpt.tcgcsv.com/SGJ6,2024-10-09T20:16:13.203,1,Common,1HT001,Hero,Young,Warrior,4,20,2.0,2.0,2.0,,,Normal,,,,
586643,Dawnblade,Dawnblade,https://tcgplayer-cdn.tcgplayer.com/product/586643_200w.jpg,62,23762,https://cpt.tcgcsv.com/TGJ6,2024-10-09T20:16:13.42,1,Common,1HT002,Weapon,Sword (2H),Warrior,,,2.0,2.0,2.0,,,Normal,3,,,
586644,Nullrune Hood,Nullrune Hood,https://tcgplayer-cdn.tcgplayer.com/product/586644_200w.jpg,62,23762,https://cpt.tcgcsv.com/VGJ6,2024-10-09T20:16:13.547,1,Common,1HT003,Equipment,Head,Generic,,,0.99,1.0,1.0,,,Normal,,0,,
586645,Nullrune Robe,Nullrune Robe,https://tcgplayer-cdn.tcgplayer.com/product/586645_200w.jpg,62,23762,https://cpt.tcgcsv.com/WGJ6,2024-10-09T20:16:13.99,1,Common,1HT004,Equipment,Chest,Generic,,,,,,,,,,0,,
586646,Gallantry Gold,Gallantry Gold,https://tcgplayer-cdn.tcgplayer.com/product/586646_200w.jpg,62,23762,https://cpt.tcgcsv.com/XGJ6,2025-03-03T19:31:09.16,1,Common,1HT005,Equipment,Arms,Generic,,,2.0,2.0,2.0,,,Normal,,1,,
586647,Refraction Bolters,Refraction Bolters,https://tcgplayer-cdn.tcgplayer.com/product/586647_200w.jpg,62,23762,https://cpt.tcgcsv.com/ZGJ6,2024-10-09T20:16:14.28,1,Common,1HT006,Equipment,Legs,Warrior,,,1.0,1.0,1.0,,,Normal,,1,,
586648,In the Swing (Red),In the Swing Red,https://tcgplayer-cdn.tcgplayer.com/product/586648_200w.jpg,62,23762,https://cpt.tcgcsv.com/-GJ6,2024-10-09T20:16:14.357,1,Common,1HT007,Attack Reaction,,Warrior,,,2.0,2.0,2.0,,,Normal,,3,0,1
586649,Ironsong Response (Red),Ironsong Response Red,https://tcgplayer-cdn.tcgplayer.com/product/586649_200w.jpg,62,23762,https://cpt.tcgcsv.com/_GJ6,2024-10-09T20:16:14.577,1,Common,1HT008,Attack Reaction,,Warrior,,,1.0,1.0,1.0,,,Normal,,3,0,1
586650,Out for Blood (Red),Out for Blood Red,https://tcgplayer-cdn.tcgplayer.com/product/586650_200w.jpg,62,23762,https://cpt.tcgcsv.com/0HJ6,2024-10-09T20:16:14.843,1,Common,1HT009,Attack Reaction,,Warrior,,,1.0,1.0,1.0,,,Normal,,3,1,1
586651,Stroke of Foresight (Red),Stroke of Foresight Red,https://tcgplayer-cdn.tcgplayer.com/product/586651_200w.jpg,62,23762,https://cpt.tcgcsv.com/2HJ6,2024-10-09T20:16:14.983,1,Common,1HT010,Attack Reaction,,Warrior,,,1.0,1.0,1.0,,,Normal,,3,1,1
586652,Razor Reflex (Red),Razor Reflex Red,https://tcgplayer-cdn.tcgplayer.com/product/586652_200w.jpg,62,23762,https://cpt.tcgcsv.com/3HJ6,2024-10-09T20:16:15.407,1,Common,1HT011,Attack Reaction,,Generic,,,,,,,,,,2,1,1
586653,Driving Blade (Red),Driving Blade Red,https://tcgplayer-cdn.tcgplayer.com/product/586653_200w.jpg,62,23762,https://cpt.tcgcsv.com/5HJ6,2024-10-09T20:16:15.577,1,Common,1HT012,Action,,Warrior,,,1.2,1.2,1.2,,,Normal,,3,2,1
586654,Slice and Dice (Red),Slice and Dice Red,https://tcgplayer-cdn.tcgplayer.com/product/586654_200w.jpg,62,23762,https://cpt.tcgcsv.com/6HJ6,2024-10-09T20:16:15.687,1,Rare,1HT013,Action,,Warrior,,,,,,,,,,3,0,1
586655,Warrior's Valor (Red),Warriors Valor Red,https://tcgplayer-cdn.tcgplayer.com/product/586655_200w.jpg,62,23762,https://cpt.tcgcsv.com/7HJ6,2024-10-09T20:16:15.797,1,Rare,1HT014,Action,,Warrior,,,0.65,0.65,0.65,,,Normal,,3,1,1
586656,Flock of the Feather Walkers (Red),Flock of the Feather Walkers Red,https://tcgplayer-cdn.tcgplayer.com/product/586656_200w.jpg,62,23762,https://cpt.tcgcsv.com/8HJ6,2024-10-09T20:16:15.91,1,Common,1HT015,Action,Attack,Generic,,,1.0,1.0,1.0,,,Normal,5,2,1,1
586657,Ironsong Response (Yellow),Ironsong Response Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586657_200w.jpg,62,23762,https://cpt.tcgcsv.com/9HJ6,2024-10-09T20:16:16.017,1,Common,1HT016,Attack Reaction,,Warrior,,,1.0,1.0,1.0,,,Normal,,3,0,2
586658,Sink Below (Yellow),Sink Below Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586658_200w.jpg,62,23762,https://cpt.tcgcsv.com/bHJ6,2024-10-09T20:16:16.113,1,Common,1HT017,Defense Reaction,,Generic,,,1.0,1.0,1.0,,,Normal,,3,0,2
586659,Driving Blade (Yellow),Driving Blade Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586659_200w.jpg,62,23762,https://cpt.tcgcsv.com/cHJ6,2024-10-09T20:16:16.207,1,Common,1HT018,Action,,Warrior,,,1.0,1.0,1.0,,,Normal,,3,2,2
586660,Hit and Run (Yellow),Hit and Run Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586660_200w.jpg,62,23762,https://cpt.tcgcsv.com/dHJ6,2024-10-09T20:16:16.317,1,Common,1HT019,Action,,Warrior,,,1.0,1.0,1.0,,,Normal,,3,0,2
586661,In the Swing (Blue),In the Swing Blue,https://tcgplayer-cdn.tcgplayer.com/product/586661_200w.jpg,62,23762,https://cpt.tcgcsv.com/fHJ6,2024-10-09T20:16:16.427,1,Common,1HT020,Attack Reaction,,Warrior,,,1.0,1.0,1.0,,,Normal,,3,0,3
586662,Ironsong Response (Blue),Ironsong Response Blue,https://tcgplayer-cdn.tcgplayer.com/product/586662_200w.jpg,62,23762,https://cpt.tcgcsv.com/gHJ6,2024-10-09T20:16:16.597,1,Common,1HT021,Attack Reaction,,Warrior,,,1.0,1.0,1.0,,,Normal,,3,0,3
586663,Out for Blood (Blue),Out for Blood Blue,https://tcgplayer-cdn.tcgplayer.com/product/586663_200w.jpg,62,23762,https://cpt.tcgcsv.com/hHJ6,2024-10-09T20:16:16.707,1,Common,1HT022,Attack Reaction,,Warrior,,,1.0,1.0,1.0,,,Normal,,3,1,3
