productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extCost,extPitchValue,extDefenseValue,extPower,extTalent,extFlavorText
510029,Bright Lights Booster Pack,Bright Lights Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/510029_200w.jpg,62,23277,https://cpt.tcgcsv.com/C066,2023-10-06T04:03:14.31,1,2.5,3.45,6.84,3.01,,Normal,,,,,,,,,,,,,
510030,Bright Lights Booster Box,Bright Lights Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/510030_200w.jpg,62,23277,https://cpt.tcgcsv.com/D066,2023-10-06T04:03:14.31,1,63.0,87.92,124.99,63.65,,Normal,,,,,,,,,,,,,
510031,Bright Lights Booster Box Case,Bright Lights Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/510031_200w.jpg,62,23277,https://cpt.tcgcsv.com/F066,2023-10-06T04:03:14.31,1,260.97,323.96,399.99,272.89,,Normal,,,,,,,,,,,,,
510033,"Teklovossen, Esteemed Magnate",Teklovossen Esteemed Magnate,https://tcgplayer-cdn.tcgplayer.com/product/510033_200w.jpg,62,23277,https://cpt.tcgcsv.com/H066,2023-10-06T04:03:14.31,1,0.25,2.0,10.0,1.94,,Normal,Majestic,EVO007,Hero,Mechanologist,4,40,,,,,,,
510038,Evo Steel Soul Memory,Evo Steel Soul Memory,https://tcgplayer-cdn.tcgplayer.com/product/510038_200w.jpg,62,23277,https://cpt.tcgcsv.com/N066,2023-10-09T11:34:07.267,1,3.49,5.0,15.0,4.04,,Normal,Majestic,EVO026,Action;Equipment,Mechanologist,,,Head;Evo;Base,4,3,3,,,
510040,Teklovossen // Banksy,Teklovossen Banksy,https://tcgplayer-cdn.tcgplayer.com/product/510040_200w.jpg,62,23277,https://cpt.tcgcsv.com/Q066,2023-10-06T04:03:14.31,2,0.03,0.18,1.34,0.16,,Normal,Token,EVO008/EVO006,Hero;Weapon,Mechanologist,4,20,Young,,,,3,,
510043,Terminator Tank,Terminator Tank,https://tcgplayer-cdn.tcgplayer.com/product/510043_200w.jpg,62,23277,https://cpt.tcgcsv.com/T066,2023-10-06T15:34:22.157,1,2.74,3.24,17.19,3.04,,Rainbow Foil,Majestic,EVO055,Action,Mechanologist,,,Attack,6,1,3,6,,
510043,Terminator Tank,Terminator Tank,https://tcgplayer-cdn.tcgplayer.com/product/510043_200w.jpg,62,23277,https://cpt.tcgcsv.com/T066,2023-10-06T15:34:22.157,1,1.94,3.35,15.0,2.52,,Normal,Majestic,EVO055,Action,Mechanologist,,,Attack,6,1,3,6,,
510045,Proto Base Legs,Proto Base Legs,https://tcgplayer-cdn.tcgplayer.com/product/510045_200w.jpg,62,23277,https://cpt.tcgcsv.com/W066,2023-10-06T04:03:14.31,1,0.01,0.15,1.32,0.08,,Normal,Token,EVO025,Equipment,Mechanologist,,,Legs,,,,,,
510048,Proto Base Head,Proto Base Head,https://tcgplayer-cdn.tcgplayer.com/product/510048_200w.jpg,62,23277,https://cpt.tcgcsv.com/-066,2023-10-06T04:03:14.31,1,0.01,0.15,1.33,0.08,,Normal,Token,EVO022,Equipment,Mechanologist,,,Head,,,,,,
510050,Proto Base Chest,Proto Base Chest,https://tcgplayer-cdn.tcgplayer.com/product/510050_200w.jpg,62,23277,https://cpt.tcgcsv.com/0266,2023-10-06T04:03:14.31,1,0.01,0.15,1.33,0.05,,Normal,Token,EVO023,Equipment,Mechanologist,,,Chest,,,,,,
510051,Proto Base Arms,Proto Base Arms,https://tcgplayer-cdn.tcgplayer.com/product/510051_200w.jpg,62,23277,https://cpt.tcgcsv.com/2266,2025-03-03T22:03:32.243,1,0.01,0.15,1.33,0.07,,Normal,Token,EVO024,Equipment,Mechanologist,,,Arms,,,,,,
516550,Warband of Bellona (Extended Art),Warband of Bellona Extended Art,https://tcgplayer-cdn.tcgplayer.com/product/516550_200w.jpg,62,23277,https://cpt.tcgcsv.com/0F86,2023-10-06T04:03:14.31,1,33.62,39.93,69.99,38.74,,Cold Foil,Legendary,EVO247,Equipment,Warrior,,,Head,,,2,,Light,
517198,Shriek Razors,Shriek Razors,https://tcgplayer-cdn.tcgplayer.com/product/517198_200w.jpg,62,23277,https://cpt.tcgcsv.com/-T86,2023-10-06T04:03:14.31,1,26.68,37.0,134.01,18.02,,Cold Foil,Legendary,EVO235,Equipment,Assassin,,,Arms,,,1,,,
517198,Shriek Razors,Shriek Razors,https://tcgplayer-cdn.tcgplayer.com/product/517198_200w.jpg,62,23277,https://cpt.tcgcsv.com/-T86,2023-10-06T04:03:14.31,1,4.0,9.99,39.99,7.33,,Rainbow Foil,Legendary,EVO235,Equipment,Assassin,,,Arms,,,1,,,
517199,Already Dead,Already Dead,https://tcgplayer-cdn.tcgplayer.com/product/517199_200w.jpg,62,23277,https://cpt.tcgcsv.com/_T86,2023-10-06T15:30:29.347,1,10.94,16.0,65.0,10.94,,Rainbow Foil,Majestic,EVO236,Action,Assassin,,,Attack,2,1,3,6,,
517199,Already Dead,Already Dead,https://tcgplayer-cdn.tcgplayer.com/product/517199_200w.jpg,62,23277,https://cpt.tcgcsv.com/_T86,2023-10-06T15:30:29.347,1,5.99,10.08,50.0,6.49,,Normal,Majestic,EVO236,Action,Assassin,,,Attack,2,1,3,6,,
517203,Smashing Performance,Smashing Performance,https://tcgplayer-cdn.tcgplayer.com/product/517203_200w.jpg,62,23277,https://cpt.tcgcsv.com/5V86,2023-10-10T12:01:36.583,1,2.49,5.22,20.0,4.05,,Normal,Majestic,EVO237,Action,Brute,,,Attack,3,2,,6,,"<em>""The scent of blood, the roar of the crowd. The enemies beneath your mace, all bear witness to the rise of a new CHAMPION!!"" -Kox, Deathmatch Fightmaster"
517203,Smashing Performance,Smashing Performance,https://tcgplayer-cdn.tcgplayer.com/product/517203_200w.jpg,62,23277,https://cpt.tcgcsv.com/5V86,2023-10-10T12:01:36.583,1,5.0,7.79,20.0,6.77,,Rainbow Foil,Majestic,EVO237,Action,Brute,,,Attack,3,2,,6,,"<em>""The scent of blood, the roar of the crowd. The enemies beneath your mace, all bear witness to the rise of a new CHAMPION!!"" -Kox, Deathmatch Fightmaster"
517204,Wax Off,Wax Off,https://tcgplayer-cdn.tcgplayer.com/product/517204_200w.jpg,62,23277,https://cpt.tcgcsv.com/6V86,2023-10-06T15:35:03.613,1,3.81,6.7,29.98,10.47,,Rainbow Foil,Majestic,EVO239,Defense Reaction,Ninja,,,,0,3,2,,,"<em>""Why look without, when the Art hides within?"" -Master Morita, Art of the Hand</em>"
517204,Wax Off,Wax Off,https://tcgplayer-cdn.tcgplayer.com/product/517204_200w.jpg,62,23277,https://cpt.tcgcsv.com/6V86,2023-10-06T15:35:03.613,1,3.4,5.0,505.03,4.66,,Normal,Majestic,EVO239,Defense Reaction,Ninja,,,,0,3,2,,,"<em>""Why look without, when the Art hides within?"" -Master Morita, Art of the Hand</em>"
517205,Emboldened Blade,Emboldened Blade,https://tcgplayer-cdn.tcgplayer.com/product/517205_200w.jpg,62,23277,https://cpt.tcgcsv.com/7V86,2023-10-06T15:32:14.16,1,3.28,4.4,23.0,4.2,,Normal,Majestic,EVO240,Action,Warrior,,,,0,3,3,,,
