productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extPower,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extPitchValue,extDefenseValue,extIntellect,extLife
614953,Kunai of Retribution - GEM002,Kunai of Retribution GEM002,https://tcgplayer-cdn.tcgplayer.com/product/614953_200w.jpg,62,24176,https://cpt.tcgcsv.com/5_W6,2025-02-01T05:10:11.727,1,Promo,GEM002,Weapon,Dagger (1H),Ninja,Draconic,1,4.45,5.0,89.99,5.11,,Cold Foil,,,,,
614954,Kunai of Retribution - GEM003,Kunai of Retribution GEM003,https://tcgplayer-cdn.tcgplayer.com/product/614954_200w.jpg,62,24176,https://cpt.tcgcsv.com/6_W6,2025-02-01T05:10:11.727,1,Promo,GEM003,Weapon,Dagger (1H),Ninja,Draconic,1,20.0,24.94,55.0,31.54,,Cold Foil,,,,,
614955,Obsidian Fire Vein - GEM004,Obsidian Fire Vein GEM004,https://tcgplayer-cdn.tcgplayer.com/product/614955_200w.jpg,62,24176,https://cpt.tcgcsv.com/7_W6,2025-02-01T05:10:11.727,1,Promo,GEM004,Weapon,Dagger (1H),Warrior,Draconic,1,3.29,3.59,10.0,3.61,,Cold Foil,,,,,
614956,Obsidian Fire Vein - GEM005,Obsidian Fire Vein GEM005,https://tcgplayer-cdn.tcgplayer.com/product/614956_200w.jpg,62,24176,https://cpt.tcgcsv.com/8_W6,2025-02-01T05:10:11.727,1,Promo,GEM005,Weapon,Dagger (1H),Warrior,Draconic,1,19.9,24.0,75.0,21.04,,Cold Foil,,,,,
614959,Mark of the Huntsman - GEM006,Mark of the Huntsman GEM006,https://tcgplayer-cdn.tcgplayer.com/product/614959_200w.jpg,62,24176,https://cpt.tcgcsv.com/c_W6,2025-02-01T05:10:11.727,1,Promo,GEM006,Weapon,Dagger (1H),Assassin,,1,1.25,1.73,15.0,1.57,,Cold Foil,,,,,
614961,Mark of the Huntsman - GEM007,Mark of the Huntsman GEM007,https://tcgplayer-cdn.tcgplayer.com/product/614961_200w.jpg,62,24176,https://cpt.tcgcsv.com/f_W6,2025-02-01T05:10:11.727,1,Promo,GEM007,Weapon,Dagger (1H),Assassin,,1,8.96,9.05,21.0,8.66,,Cold Foil,,,,,
614963,Graphene Chelicera - GEM008,Graphene Chelicera GEM008,https://tcgplayer-cdn.tcgplayer.com/product/614963_200w.jpg,62,24176,https://cpt.tcgcsv.com/h_W6,2025-02-03T15:10:42.427,1,Promo,GEM008,Token;Weapon,Dagger (1H),Assassin,,1,29.69,29.79,114.0,26.98,,Cold Foil,,,,,
614965,Graphene Chelicera - GEM009,Graphene Chelicera GEM009,https://tcgplayer-cdn.tcgplayer.com/product/614965_200w.jpg,62,24176,https://cpt.tcgcsv.com/k_W6,2025-02-01T05:10:11.727,1,Promo,GEM009,Token;Weapon,Dagger (1H),Assassin,,1,35.22,42.88,53.0,45.53,,Cold Foil,,,,,
614967,Affirm Loyalty - GEM012,Affirm Loyalty GEM012,https://tcgplayer-cdn.tcgplayer.com/product/614967_200w.jpg,62,24176,https://cpt.tcgcsv.com/m_W6,2025-02-13T15:21:36.2,1,Promo,GEM012,Attack Reaction,,Warrior,Draconic,,3.36,4.25,23.45,3.15,,Rainbow Foil,0,1,2,,
614967,Affirm Loyalty - GEM012,Affirm Loyalty GEM012,https://tcgplayer-cdn.tcgplayer.com/product/614967_200w.jpg,62,24176,https://cpt.tcgcsv.com/m_W6,2025-02-13T15:21:36.2,1,Promo,GEM012,Attack Reaction,,Warrior,Draconic,,0.74,1.27,10.0,1.01,,Normal,0,1,2,,
