productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extDefenseValue,extPower,extCost,extPitchValue
237756,Monarch Blitz Deck - Boltyn,Monarch Blitz Deck Boltyn,https://tcgplayer-cdn.tcgplayer.com/product/237756_200w.jpg,62,2819,https://cpt.tcgcsv.com/87W2,2021-05-18T13:06:06.427,1,3.96,6.45,29.98,5.13,,Normal,,,,,,,,,,,,
238371,Boltyn,Boltyn,https://tcgplayer-cdn.tcgplayer.com/product/238371_200w.jpg,62,2819,https://cpt.tcgcsv.com/rmW2,2025-03-10T17:49:19.967,1,0.15,0.4,2.67,0.21,,Unlimited Edition Rainbow Foil,Rare,BOL001,Hero,Young,Warrior,Light,4,20,,,,
238372,Minerva Themis,Minerva Themis,https://tcgplayer-cdn.tcgplayer.com/product/238372_200w.jpg,62,2819,https://cpt.tcgcsv.com/smW2,2025-03-10T17:52:17.18,1,0.2,0.6,20.0,0.4,,Normal,Majestic,BOL002,Mentor,,Warrior,,,,3,,,
238373,Hatchet of Body,Hatchet of Body,https://tcgplayer-cdn.tcgplayer.com/product/238373_200w.jpg,62,2819,https://cpt.tcgcsv.com/tmW2,2025-03-10T17:54:01.097,1,1.48,1.6,2.98,1.5,,Normal,Common,BOL003,Weapon,,Warrior,,,,,2,,
238375,Hatchet of Mind,Hatchet of Mind,https://tcgplayer-cdn.tcgplayer.com/product/238375_200w.jpg,62,2819,https://cpt.tcgcsv.com/wmW2,2025-03-10T17:54:05.137,1,1.32,1.58,2.0,1.44,,Normal,Common,BOL004,Weapon,,Warrior,,,,,2,,
238378,Halo of Illumination,Halo of Illumination,https://tcgplayer-cdn.tcgplayer.com/product/238378_200w.jpg,62,2819,https://cpt.tcgcsv.com/BmW2,2025-03-10T17:25:01,1,0.15,0.21,1.25,0.15,,Normal,Common,BOL005,Equipment,Head,,Light,,,0,,,
238382,Spell Fray Cloak,Spell Fray Cloak,https://tcgplayer-cdn.tcgplayer.com/product/238382_200w.jpg,62,2819,https://cpt.tcgcsv.com/GmW2,2025-03-10T17:32:36.073,1,0.19,0.3,2.93,,,Normal,Common,BOL006,Equipment,Chest,Generic,,,,0,,,
238386,Gallantry Gold,Gallantry Gold,https://tcgplayer-cdn.tcgplayer.com/product/238386_200w.jpg,62,2819,https://cpt.tcgcsv.com/LmW2,2025-03-10T17:56:52.793,1,0.25,0.32,1.23,0.37,,Normal,Common,BOL007,Equipment,Arms,Warrior,,,,,1,,
238387,Snapdragon Scalers,Snapdragon Scalers,https://tcgplayer-cdn.tcgplayer.com/product/238387_200w.jpg,62,2819,https://cpt.tcgcsv.com/MmW2,2021-05-14T04:03:14.213,1,0.9,1.86,3.87,2.21,,Normal,Common,BOL008,Equipment,Legs,Generic,,,,0,,,
238388,V of the Vanguard,V of the Vanguard,https://tcgplayer-cdn.tcgplayer.com/product/238388_200w.jpg,62,2819,https://cpt.tcgcsv.com/NmW2,2025-03-10T17:32:49.457,1,0.19,0.27,2.21,,,Normal,Rare,BOL009,Action,Attack,Warrior,Light,,,3,3,1,2
238389,Battlefield Blitz,Battlefield Blitz,https://tcgplayer-cdn.tcgplayer.com/product/238389_200w.jpg,62,2819,https://cpt.tcgcsv.com/PmW2,2025-03-10T17:32:58.987,1,0.19,0.3,3.44,0.2,,Normal,Rare,BOL010,Action,Attack,Warrior,Light,,,3,5,1,1
238390,Courageous Steelhand,Courageous Steelhand,https://tcgplayer-cdn.tcgplayer.com/product/238390_200w.jpg,62,2819,https://cpt.tcgcsv.com/QmW2,2025-03-10T17:25:14.183,1,0.19,0.24,1.22,0.19,,Normal,Common,BOL012,Action,Attack,Warrior,Light,,,2,,0,1
238391,Bolt of Courage (Red),Bolt of Courage Red,https://tcgplayer-cdn.tcgplayer.com/product/238391_200w.jpg,62,2819,https://cpt.tcgcsv.com/RmW2,2025-03-10T17:25:24.803,1,0.19,0.25,3.44,0.19,,Normal,Common,BOL011,Action,Attack,Warrior,Light,,,3,3,0,1
238392,Cross the Line (Red),Cross the Line Red,https://tcgplayer-cdn.tcgplayer.com/product/238392_200w.jpg,62,2819,https://cpt.tcgcsv.com/SmW2,2025-03-10T17:54:14.087,1,0.11,0.18,3.44,0.13,,Normal,Common,BOL013,Action,Attack,Warrior,Light,,,3,5,1,1
238393,Engulfing Light (Red),Engulfing Light Red,https://tcgplayer-cdn.tcgplayer.com/product/238393_200w.jpg,62,2819,https://cpt.tcgcsv.com/TmW2,2025-03-10T17:49:34.667,1,0.18,0.2,3.44,,,Normal,Common,BOL014,Action,Attack,Warrior,Light,,,3,3,0,1
238394,Express Lightning (Red),Express Lightning Red,https://tcgplayer-cdn.tcgplayer.com/product/238394_200w.jpg,62,2819,https://cpt.tcgcsv.com/VmW2,2025-03-10T17:25:36.627,1,0.05,0.15,3.44,0.04,,Normal,Common,BOL015,Action,Attack,Warrior,Light,,,3,4,0,1
