productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardSubType,extPower,extDefenseValue,extCost,extPitchValue
576967,Armory Deck: Dash,Armory Deck Dash,https://tcgplayer-cdn.tcgplayer.com/product/576967_200w.jpg,62,23738,https://cpt.tcgcsv.com/mPD6,2024-10-18T04:08:17.58,1,,,,,,,,,,,,,,,,,
576973,Armory Deck: Dash Case,Armory Deck Dash Case,https://tcgplayer-cdn.tcgplayer.com/product/576973_200w.jpg,62,23738,https://cpt.tcgcsv.com/tPD6,2024-10-18T04:08:17.58,0,,,,,,,,,,,,,,,,,
586562,Dash I/O,Dash I O,https://tcgplayer-cdn.tcgplayer.com/product/586562_200w.jpg,62,23738,https://cpt.tcgcsv.com/gFJ6,2024-10-18T04:08:17.58,1,Majestic,AIO001,Hero,Mechanologist,4,36,0.55,0.75,3.05,1.04,,Normal,,,,,
586563,Symbiosis Shot,Symbiosis Shot,https://tcgplayer-cdn.tcgplayer.com/product/586563_200w.jpg,62,23738,https://cpt.tcgcsv.com/hFJ6,2024-10-18T04:08:17.58,1,Common,AIO002,Equipment,Mechanologist,,,3.87,3.88,5.44,1.51,,Normal,Gun (2H),2,,,
586564,Heavy Industry Surveillance,Heavy Industry Surveillance,https://tcgplayer-cdn.tcgplayer.com/product/586564_200w.jpg,62,23738,https://cpt.tcgcsv.com/jFJ6,2024-10-18T04:08:17.58,1,Majestic,AIO003,Equipment,Mechanologist,,,0.65,1.0,50.0,0.85,,Rainbow Foil,Head,,1,,
586565,Heavy Industry Power Plant,Heavy Industry Power Plant,https://tcgplayer-cdn.tcgplayer.com/product/586565_200w.jpg,62,23738,https://cpt.tcgcsv.com/kFJ6,2024-10-18T04:08:17.58,1,Majestic,AIO004,Equipment,Mechanologist,,,0.49,1.0,4.22,0.76,,Rainbow Foil,Chest,,2,,
586566,Heavy Industry Ram Stop,Heavy Industry Ram Stop,https://tcgplayer-cdn.tcgplayer.com/product/586566_200w.jpg,62,23738,https://cpt.tcgcsv.com/lFJ6,2024-10-18T04:08:17.58,1,Majestic,AIO005,Equipment,Mechanologist,,,0.39,0.59,2.1,0.62,,Rainbow Foil,Arms,,1,,
586567,Heavy Industry Gear Shift,Heavy Industry Gear Shift,https://tcgplayer-cdn.tcgplayer.com/product/586567_200w.jpg,62,23738,https://cpt.tcgcsv.com/mFJ6,2024-10-18T04:08:17.58,1,Majestic,AIO006,Equipment,Mechanologist,,,0.69,2.19,12.31,2.22,,Rainbow Foil,Legs,,1,,
586568,Data Link (Red),Data Link Red,https://tcgplayer-cdn.tcgplayer.com/product/586568_200w.jpg,62,23738,https://cpt.tcgcsv.com/nFJ6,2024-10-18T04:08:17.58,1,Common,AIO007,Action,Mechanologist,,,0.15,0.25,1.53,0.2,,Normal,Attack,3,3,0,1
586569,Dive Through Data (Red),Dive Through Data Red,https://tcgplayer-cdn.tcgplayer.com/product/586569_200w.jpg,62,23738,https://cpt.tcgcsv.com/pFJ6,2024-10-18T04:08:17.58,1,Common,AIO008,Action,Mechanologist,,,0.25,0.32,1.64,0.29,,Normal,Attack,4,3,1,1
